Posicionx;Posiciony;Casilla;ficha
640;640;1;1
575;640;2;1
515;640;3;1
455;640;4;1
395;640;5;1
335;640;6;1
275;640;7;1
215;640;8;1
155;640;9;1
95;640;10;1
0;660;11;2
60;575;12;2
60;515;13;2
60;455;14;2
60;395;15;2
60;335;16;2
60;275;17;2
60;215;18;2
60;155;19;2
60;95;20;2
65;60;21;3
125;60;22;3
185;60;23;3
245;60;24;3
305;60;25;3
365;60;26;3
425;60;27;3
485;60;28;3
545;60;29;3
605;60;30;3
640;65;31;4
640;125;32;4
640;185;33;4
640;245;34;4
640;305;35;4
640;365;36;4
640;425;37;4
640;485;38;4
640;545;39;4
640;605;40;4
