Posicionx;Posiciony;Casilla;ficha
700;640;1;1
605;640;2;1
545;640;3;1
485;640;4;1
425;640;5;1
365;640;6;1
305;640;7;1
245;640;8;1
185;640;9;1
125;640;10;1
0;680;11;2
60;605;12;2
60;545;13;2
60;485;14;2
60;425;15;2
60;365;16;2
60;305;17;2
60;245;18;2
60;185;19;2
60;125;20;2
0;60;21;3
95;60;22;3
155;60;23;3
215;60;24;3
275;60;25;3
335;60;26;3
395;60;27;3
455;60;28;3
515;60;29;3
575;60;30;3
640;0;31;4
640;95;32;4
640;155;33;4
640;215;34;4
640;275;35;4
640;335;36;4
640;395;37;4
640;455;38;4
640;515;39;4
640;575;40;4
