Posicionx;Posiciony;Casilla;ficha
700;700;1;1
605;700;2;1
545;700;3;1
485;700;4;1
425;700;5;1
365;700;6;1
305;700;7;1
245;700;8;1
185;700;9;1
125;700;10;1
0;700;11;2
0;605;12;2
0;545;13;2
0;485;14;2
0;425;15;2
0;365;16;2
0;305;17;2
0;245;18;2
0;185;19;2
0;125;20;2
0;0;21;3
95;0;22;3
155;0;23;3
215;0;24;3
275;0;25;3
335;0;26;3
395;0;27;3
455;0;28;3
515;0;29;3
575;0;30;3
700;0;31;4
700;95;32;4
700;155;33;4
700;215;34;4
700;275;35;4
700;335;36;4
700;395;37;4
700;455;38;4
700;515;39;4
700;575;40;4
